index,Year,Gender,Race,Director(s),Film,Nomination/Winner
0,1927/28 ,Male,White,Frank Borzage (Dramatic Picture),7th Heaven,Winner
1,1927/28 ,Male,White,Herbert Brenon(Dramatic Picture),Sorrell and Son,Nomination
2,1927/28 ,Male,White,King Vidor(Dramatic Picture),The Crowd,Nomination
3,1927/28 ,Male,White,Lewis Milestone (Comedy Picture),Two Arabian Knights,Winner
4,1927/28 ,Male,White,Ted Wilde(Comedy Picture),Speedy,Nomination
5,1928/1929,Male,White,Frank Lloyd,The Divine Lady,Winner
6,1928/1929,Male,White,Lionel Barrymore,Madame X,Nomination
7,1928/1929,Male,White,Harry Beaumont,The Broadway Melody,Nomination
8,1928/1929,Male,White,Irving Cummings,In Old Arizona,Nomination
9,1928/1929,Male,White,Frank Lloyd,Drag,Nomination
10,1928/1929,Male,White,Frank Lloyd,Weary River,Nomination
11,1928/1929,Male,White,Ernst Lubitsch,The Patriot,Nomination
12,1929/1930,Male,White,Lewis Milestone,All Quiet on the Western Front,Winner
13,1929/1930,Male,White,Clarence Brown,Anna Christie,Nomination
14,1929/1930,Male,White,Clarence Brown,Romance,Nomination
15,1929/1930,Male,White,Robert Z. Leonard,The Divorcee,Nomination
16,1929/1930,Male,White,Ernst Lubitsch,The Love Parade,Nomination
17,1929/1930,Male,White,King Vidor,Hallelujah!,Nomination
18,1930/1931,Male,White,Norman Taurog,Skippy,Winner
19,1930/1931,Male,White,Clarence Brown,A Free Soul,Nomination
20,1930/1931,Male,White,Lewis Milestone,The Front Page,Nomination
21,1930/1931,Male,White,Wesley Ruggles,Cimarron,Nomination
22,1930/1931,Male,White,Josef von Sternberg,Morocco,Nomination
23,1931/1932,Male,White,Frank Borzage,Bad Girl,Winner
24,1931/1932,Male,White,King Vidor,The Champ,Nomination
25,1931/1932,Male,White,Josef von Sternberg,Shanghai Express,Nomination
26,1932/1933,Male,White,Frank Lloyd,Cavalcade,Winner
27,1932/1933,Male,White,Frank Capra,Lady for a Day,Nomination
28,1932/1933,Male,White,George Cukor,Little Women,Nomination
29,1934,Male,White,Frank Capra,It Happened One Night,Winner
30,1934,Male,White,Victor Schertzinger,One Night of Love,Nomination
31,1934,Male,White,W. S. Van Dyke,The Thin Man,Nomination
32,1935,Male,White,John Ford,The Informer,Winner
33,1935,Male,White,Henry Hathaway,The Lives of a Bengal Lancer,Nomination
34,1935,Male,White,Frank Lloyd,Mutiny on the Bounty,Nomination
35,1936,Male,White,Frank Capra,Mr. Deeds Goes to Town,Winner
36,1936,Male,White,Gregory La Cava,My Man Godfrey,Nomination
37,1936,Male,White,Robert Z. Leonard,The Great Ziegfeld,Nomination
38,1936,Male,White,W. S. Van Dyke,San Francisco,Nomination
39,1936,Male,White,William Wyler,Dodsworth,Nomination
40,1937,Male,White,Leo McCarey,The Awful Truth,Winner
41,1937,Male,White,William Dieterle,The Life of Emile Zola,Nomination
42,1937,Male,White,Sidney Franklin,The Good Earth,Nomination
43,1937,Male,White,Gregory La Cava,Stage Door,Nomination
44,1937,Male,White,William A. Wellman,A Star Is Born,Nomination
45,1938,Male,White,Frank Capra,You Can't Take It with You,Winner
46,1938,Male,White,Michael Curtiz,Angels with Dirty Faces,Nomination
47,1938,Male,White,Michael Curtiz,Four Daughters,Nomination
48,1938,Male,White,Norman Taurog,Boys Town,Nomination
49,1938,Male,White,King Vidor,The Citadel,Nomination
50,1939,Male,White,Victor Fleming,Gone with the Wind,Winner
51,1939,Male,White,Frank Capra,Mr. Smith Goes to Washington,Nomination
52,1939,Male,White,John Ford,Stagecoach,Nomination
53,1939,Male,White,Sam Wood,"Goodbye, Mr. Chips",Nomination
54,1939,Male,White,William Wyler,Wuthering Heights,Nomination
55,1940,Male,White,John Ford,The Grapes of Wrath,Winner
56,1940,Male,White,George Cukor,The Philadelphia Story,Nomination
57,1940,Male,White,Alfred Hitchcock,Rebecca,Nomination
58,1940,Male,White,Sam Wood,Kitty Foyle,Nomination
59,1940,Male,White,William Wyler,The Letter,Nomination
60,1941,Male,White,John Ford,How Green Was My Valley,Winner
61,1941,Male,White,Alexander Hall,Here Comes Mr. Jordan,Nomination
62,1941,Male,White,Howard Hawks,Sergeant York,Nomination
63,1941,Male,White,Orson Welles,Citizen Kane,Nomination
64,1941,Male,White,William Wyler,The Little Foxes,Nomination
65,1942,Male,White,William Wyler,Mrs. Miniver,Winner
66,1942,Male,White,Michael Curtiz,Yankee Doodle Dandy,Nomination
67,1942,Male,White,John Farrow,Wake Island,Nomination
68,1942,Male,White,Mervyn LeRoy,Random Harvest,Nomination
69,1942,Male,White,Sam Wood,Kings Row,Nomination
70,1943,Male,White,Michael Curtiz,Casablanca,Winner
71,1943,Male,White,Clarence Brown,The Human Comedy,Nomination
72,1943,Male,White,Henry King,The Song of Bernadette,Nomination
73,1943,Male,White,Ernst Lubitsch,Heaven Can Wait,Nomination
74,1943,Male,White,George Stevens,The More the Merrier,Nomination
75,1944,Male,White,Leo McCarey,Going My Way,Winner
76,1944,Male,White,Alfred Hitchcock,Lifeboat,Nomination
77,1944,Male,White,Henry King,Wilson,Nomination
78,1944,Male,White,Otto Preminger,Laura,Nomination
79,1944,Male,White,Billy Wilder,Double Indemnity,Nomination
80,1945,Male,White,Billy Wilder,The Lost Weekend,Winner
81,1945,Male,White,Clarence Brown,National Velvet,Nomination
82,1945,Male,White,Alfred Hitchcock,Spellbound,Nomination
83,1945,Male,White,Leo McCarey,The Bells of St. Mary's,Nomination
84,1945,Male,White,Jean Renoir,The Southerner,Nomination
85,1946,Male,White,William Wyler,The Best Years of Our Lives,Winner
86,1946,Male,White,Clarence Brown,The Yearling,Nomination
87,1946,Male,White,Frank Capra,It's a Wonderful Life,Nomination
88,1946,Male,White,David Lean,Brief Encounter,Nomination
89,1946,Male,White,Robert Siodmak,The Killers,Nomination
90,1947,Male,White,Elia Kazan,Gentleman's Agreement,Winner
91,1947,Male,White,George Cukor,A Double Life,Nomination
92,1947,Male,White,Edward Dmytryk,Crossfire,Nomination
93,1947,Male,White,Henry Koster,The Bishop's Wife,Nomination
94,1947,Male,White,David Lean,Great Expectations,Nomination
95,1948,Male,White,John Huston,The Treasure of the Sierra Madre,Winner
96,1948,Male,White,Anatole Litvak,The Snake Pit,Nomination
97,1948,Male,White,Jean Negulesco,Johnny Belinda,Nomination
98,1948,Male,White,Laurence Olivier,Hamlet,Nomination
99,1948,Male,White,Fred Zinnemann,The Search,Nomination
100,1949,Male,White,Joseph L. Mankiewicz,A Letter to Three Wives,Winner
101,1949,Male,White,Carol Reed,The Fallen Idol,Nomination
102,1949,Male,White,Robert Rossen,All the King's Men,Nomination
103,1949,Male,White,William A. Wellman,Battleground,Nomination
104,1949,Male,White,William Wyler,The Heiress,Nomination
105,1950,Male,White,Joseph L. Mankiewicz,All About Eve,Winner
106,1950,Male,White,George Cukor,Born Yesterday,Nomination
107,1950,Male,White,John Huston,The Asphalt Jungle,Nomination
108,1950,Male,White,Carol Reed,The Third Man,Nomination
109,1950,Male,White,Billy Wilder,Sunset Boulevard,Nomination
110,1951,Male,White,George Stevens,A Place in the Sun,Winner
111,1951,Male,White,John Huston,The African Queen,Nomination
112,1951,Male,White,Elia Kazan,A Streetcar Named Desire,Nomination
113,1951,Male,White,Vincente Minnelli,An American in Paris,Nomination
114,1951,Male,White,William Wyler,Detective Story,Nomination
115,1952,Male,White,John Ford,The Quiet Man,Winner
116,1952,Male,White,Cecil B. DeMille,The Greatest Show on Earth,Nomination
117,1952,Male,White,John Huston,Moulin Rouge,Nomination
118,1952,Male,White,Joseph L. Mankiewicz,5 Fingers,Nomination
119,1952,Male,White,Fred Zinnemann,High Noon,Nomination
120,1953,Male,White,Fred Zinnemann,From Here to Eternity,Winner
121,1953,Male,White,George Stevens,Shane,Nomination
122,1953,Male,White,Charles Walters,Lili,Nomination
123,1953,Male,White,Billy Wilder,Stalag 17,Nomination
124,1953,Male,White,William Wyler,Roman Holiday,Nomination
125,1954,Male,White,Elia Kazan,On the Waterfront,Winner
126,1954,Male,White,Alfred Hitchcock,Rear Window,Nomination
127,1954,Male,White,George Seaton,The Country Girl,Nomination
128,1954,Male,White,William A. Wellman,The High and the Mighty,Nomination
129,1954,Male,White,Billy Wilder,Sabrina,Nomination
130,1955,Male,White,Delbert Mann,Marty,Winner
131,1955,Male,White,Elia Kazan,East of Eden,Nomination
132,1955,Male,White,David Lean,Summertime,Nomination
133,1955,Male,White,Joshua Logan,Picnic,Nomination
134,1955,Male,White,John Sturges,Bad Day at Black Rock,Nomination
135,1956,Male,White,George Stevens,Giant,Winner
136,1956,Male,White,Michael Anderson,Around the World in 80 Days,Nomination
137,1956,Male,White,Walter Lang,The King and I,Nomination
138,1956,Male,White,King Vidor,War and Peace,Nomination
139,1956,Male,White,William Wyler,Friendly Persuasion,Nomination
140,1957,Male,White,David Lean,The Bridge on the River Kwai,Winner
141,1957,Male,White,Joshua Logan,Sayonara,Nomination
142,1957,Male,White,Sidney Lumet,12 Angry Men,Nomination
143,1957,Male,White,Mark Robson,Peyton Place,Nomination
144,1957,Male,White,Billy Wilder,Witness for the Prosecution,Nomination
145,1958,Male,White,Vincente Minnelli,Gigi,Winner
146,1958,Male,White,Richard Brooks,Cat on a Hot Tin Roof,Nomination
147,1958,Male,White,Stanley Kramer,The Defiant Ones,Nomination
148,1958,Male,White,Mark Robson,The Inn of the Sixth Happiness,Nomination
149,1958,Male,White,Robert Wise,I Want to Live!,Nomination
150,1959,Male,White,William Wyler,Ben-Hur,Winner
151,1959,Male,White,Jack Clayton,Room at the Top,Nomination
