oscar_no,oscar_yr,award,name,movie,age,birth_pl,birth_date,birth_mo,birth_d,birth_y,index,Gender,Race,Director(s),Film,Nomination/Winner
1,1929,Best actress,Janet Gaynor,7th Heaven,22,Pennsylvania,1906-10-06,10,6,1906,5,Male,White,Frank Lloyd,The Divine Lady,Winner
1,1929,Best actress,Janet Gaynor,7th Heaven,22,Pennsylvania,1906-10-06,10,6,1906,6,Male,White,Lionel Barrymore,Madame X,Nomination
1,1929,Best actress,Janet Gaynor,7th Heaven,22,Pennsylvania,1906-10-06,10,6,1906,7,Male,White,Harry Beaumont,The Broadway Melody,Nomination
1,1929,Best actress,Janet Gaynor,7th Heaven,22,Pennsylvania,1906-10-06,10,6,1906,8,Male,White,Irving Cummings,In Old Arizona,Nomination
1,1929,Best actress,Janet Gaynor,7th Heaven,22,Pennsylvania,1906-10-06,10,6,1906,9,Male,White,Frank Lloyd,Drag,Nomination
1,1929,Best actress,Janet Gaynor,7th Heaven,22,Pennsylvania,1906-10-06,10,6,1906,10,Male,White,Frank Lloyd,Weary River,Nomination
1,1929,Best actress,Janet Gaynor,7th Heaven,22,Pennsylvania,1906-10-06,10,6,1906,11,Male,White,Ernst Lubitsch,The Patriot,Nomination
1,1929,Best actor,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884,5,Male,White,Frank Lloyd,The Divine Lady,Winner
1,1929,Best actor,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884,6,Male,White,Lionel Barrymore,Madame X,Nomination
1,1929,Best actor,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884,7,Male,White,Harry Beaumont,The Broadway Melody,Nomination
1,1929,Best actor,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884,8,Male,White,Irving Cummings,In Old Arizona,Nomination
1,1929,Best actor,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884,9,Male,White,Frank Lloyd,Drag,Nomination
1,1929,Best actor,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884,10,Male,White,Frank Lloyd,Weary River,Nomination
1,1929,Best actor,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884,11,Male,White,Ernst Lubitsch,The Patriot,Nomination
2,1930,Best actress,Mary Pickford,Coquette,37,Canada,1892-04-08,4,8,1892,12,Male,White,Lewis Milestone,All Quiet on the Western Front,Winner
2,1930,Best actress,Mary Pickford,Coquette,37,Canada,1892-04-08,4,8,1892,13,Male,White,Clarence Brown,Anna Christie,Nomination
2,1930,Best actress,Mary Pickford,Coquette,37,Canada,1892-04-08,4,8,1892,14,Male,White,Clarence Brown,Romance,Nomination
2,1930,Best actress,Mary Pickford,Coquette,37,Canada,1892-04-08,4,8,1892,15,Male,White,Robert Z. Leonard,The Divorcee,Nomination
2,1930,Best actress,Mary Pickford,Coquette,37,Canada,1892-04-08,4,8,1892,16,Male,White,Ernst Lubitsch,The Love Parade,Nomination
