"year","director","actress","actor","movie"
"1928","Frank Borzage",NULL,NULL,NULL
"1929","Frank Lloyd","Janet Gaynor","Emil Jannings","Wings"
"1930","Lewis Milestone","Mary Pickford","Warner Baxter","The Broadway Melody"
"1931","Norman Taurog","Norma Shearer","George Arliss","All Quiet on the Western Front"
"1932","Frank Borzage","Marie Dressler","Lionel Barrymore","Cimarron"
"1933","Frank Lloyd","Helen Hayes","Fredric March and Wallace Beery","Grand Hotel"
"1934","Frank Capra","Katharine Hepburn","Charles Laughton","Cavalcade"
"1935","John Ford","Claudette Colbert","Clark Gable","It Happened One Night"
"1936","Frank Capra","Bette Davis","Victor McLaglen","Mutiny on the Bounty"
"1937","Leo McCarey","Luise Rainer","Paul Muni","The Great Ziegfeld"
"1938","Frank Capra","Luise Rainer","Spencer Tracy","The Life of Emile Zola"
"1939","Victor Fleming","Bette Davis","Spencer Tracy","You Can't Take It with You"
"1940","John Ford","Vivien Leigh","Robert Donat","Gone with the Wind"
"1941","John Ford","Ginger Rogers","James Stewart","Rebecca"
"1942","William Wyler","Joan Fontaine","Gary Cooper","How Green Was My Valley"
"1943","Michael Curtiz","Greer Garson","James Cagney","Mrs. Miniver"
"1944","Leo McCarey","Jennifer Jones","Paul Lukas","Casablanca"
"1945","Billy Wilder","Ingrid Bergman","Bing Crosby","Going My Way"
"1946","William Wyler","Joan Crawford","Ray Milland","The Lost Weekend"
"1947","Elia Kazan","Olivia de Havilland","Fredric March","The Best Years of Our Lives"
"1948","John Huston","Loretta Young","Ronald Colman","Gentleman's Agreement"
"1949","Joseph L. Mankiewicz","Jane Wyman","Laurence Olivier","Hamlet"
"1950","Joseph L. Mankiewicz","Olivia de Havilland","Broderick Crawford","All the King's Men"
"1951","George Stevens","Judy Holliday","Jose Ferrer","All about Eve"
"1952","John Ford","Vivien Leigh","Humphrey Bogart","An American in Paris"
"1953","Fred Zinnemann","Shirley Booth","Gary Cooper","The Greatest Show on Earth"
"1954","Elia Kazan","Audrey Hepburn","William Holden","From Here to Eternity"
"1955","Delbert Mann","Grace Kelly","Marlon Brando","On the Waterfront"
