year,actress,movie,age,birth_place,birth_date
1929,Janet Gaynor,7th Heaven,22,Pennsylvania,1906-10-06
1930,Mary Pickford,Coquette,37,Canada,1892-04-08
1931,Norma Shearer,The Divorcee,28,Canada,1902-08-10
1932,Marie Dressler,Min and Bill,63,Canada,1868-11-09
1933,Helen Hayes,The Sin of Madelon Claudet,32,Washington DC,1900-10-10
1934,Katharine Hepburn,Morning Glory,26,Connecticut,1907-05-12
1935,Claudette Colbert,It Happened One Night,31,France,1903-09-13
1936,Bette Davis,Dangerous,27,Massachusetts,1908-04-05
1937,Luise Rainer,The Great Zeigfeld,26,Germany,1910-01-12
1938,Luise Rainer,The Good Earth,27,Germany,1910-01-12
1939,Bette Davis,Jezebel,30,Massachusetts,1908-04-05
1940,Vivien Leigh,Gone With the Wind,26,India,1913-11-05
1941,Ginger Rogers,Kitty Foyle,29,Missouri,1911-07-16
1942,Joan Fontaine,Suspicion,24,Japan,1917-10-22
1943,Greer Garson,Mrs. Miniver,38,England,1904-09-29
1944,Jennifer Jones,The Song of Bernadette,24,Oklahoma,1919-03-02
1945,Ingrid Bergman,Gaslight,29,Sweden,1915-08-29
1946,Joan Crawford,Mildred Pierce,33,Texas,1912-03-23
1947,Olivia de Havilland,To Each His Own,30,Japan,1916-07-01
1948,Loretta Young,The Farmer's Daughter,34,Utah,1913-01-06
1949,Jane Wyman,Johnny Belinda,34,Missouri,1914-01-04
1950,Olivia de Havilland,The Heiress,33,Japan,1916-07-01
1951,Judy Holliday,Born Yesterday,29,New York,1921-06-21
1952,Vivien Leigh,A Streetcar Named Desire,38,India,1913-11-05
1953,Shirley Booth,"Come Back, Little Sheba",54,New York,1898-08-30
1954,Audrey Hepburn,Roman Holiday,24,Belgium,1929-05-04
1955,Grace Kelly,The Country Girl,25,Philly,1929-11-12
1956,Anna Magnani,The Rose Tattoo,47,Italy,1908-03-07
1957,Ingrid Bergman,Anastasia,41,Sweden,1915-08-29
1958,Joanne Woodward,The Three Faces of Eve,27,Georgia,1930-02-27
1959,Susan Hayward,I Want to Live!,41,New York,1917-06-30
1960,Simone Signoret,Room at the Top,38,Germany,1921-03-25
1961,Elisabeth Taylor,Butterfield 8,28,England,1932-02-27
1962,Sophia Loren,Two Women,27,Italy,1934-09-20
1963,Anne Bancroft,The Miracle Worker,31,New York,1931-09-17
1964,Patricia Neal,Hud,37,Kentucky,1926-01-20
1965,Julie Andrews,Mary Poppins,29,England,1935-10-01
1966,Julie Christie,Darling,25,India,1940-04-14
1967,Elizabeth Taylor,Who's Afraid of Virginia Wolf,34,England,1932-02-27
1968,Katharine Hepburn,Guess Who's Coming to Dinner,60,Connecticut,1907-05-12
1969,Barbra Streisand,Funny Girl,26,New York,1942-04-24
1969,Katharine Hepburn,The Lion in Winter,61,Connecticut,1907-05-12
1970,Maggie Smith,The Prime of Miss Jean Brodie,35,England,1934-12-28
1971,Glenda Jackson,Women In Love,34,England,1936-05-09
