oscar_no,oscar_yr,award,name,movie,age,birth_pl,birth_date,birth_mo,birth_d,birth_y
1,1929,Best actor,Emil Jannings,The Way of All Flesh & The Las,44,Switzerland,1884-07-23,7,23,1884
2,1930,Best actor,Warner Baxter,In Old Arizona,40,Ohio,1889-03-29,3,29,1889
3,1931,Best actor,George Arliss,Disraeli,62,England,1868-04-10,4,10,1868
4,1932,Best actor,Lionel Barrymore,A Free Soul,53,Pennsylvania,1878-04-28,4,28,1878
5,1933,Best actor,Fredric March,Dr. Jekyll and Mr. Hyde,35,Wisconsin,1897-08-31,8,31,1897
5,1933,Best actor,Wallace Beery,The Champ,47,Missouri,1885-04-01,4,1,1885
6,1934,Best actor,Charles Laughton,The Private Life of Henry VIII,34,England,1899-07-01,7,1,1899
7,1935,Best actor,Clark Gable,It Happened One Night,33,Ohio,1901-02-01,2,1,1901
8,1936,Best actor,Victor McLaglen,The Informer,52,England,1883-12-11,12,11,1883
9,1937,Best actor,Paul Muni,The Story of Louis Pasteur,41,Poland,1895-09-22,9,22,1895
10,1938,Best actor,Spencer Tracy,Captains Courageous,37,Wisconsin,1900-04-05,4,5,1900
11,1939,Best actor,Spencer Tracy,Boys Town,38,Wisconsin,1900-04-05,4,5,1900
12,1940,Best actor,Robert Donat,"Goodbye, Mr. Chips",34,England,1905-03-18,3,18,1905
13,1941,Best actor,James Stewart,The Philadelphia Story,32,Pennsylvania,1908-05-20,5,20,1908
14,1942,Best actor,Gary Cooper,Sergeant York,40,Montana,1901-05-07,5,7,1901
15,1943,Best actor,James Cagney,Yankee Doodle Dandy,43,New York,1899-07-17,7,17,1899
16,1944,Best actor,Paul Lukas,Watch on the Rhine,48,Hungary,1895-05-26,5,26,1895
17,1945,Best actor,Bing Crosby,Going My Way,41,Washington,1903-05-03,5,3,1903
18,1946,Best actor,Ray Milland,The Lost Weekend,40,Wales,1905-01-03,1,3,1905
19,1947,Best actor,Fredric March,The Best Years of Our Lives,49,Wisconsin,1897-08-31,8,31,1897
20,1948,Best actor,Ronald Colman,A Double Life,56,England,1891-02-09,2,9,1891
21,1949,Best actor,Laurence Olivier,Hamlet,41,England,1907-05-22,5,22,1907
22,1950,Best actor,Broderick Crawford,All the King's Men,38,Pennsylvania,1911-12-09,12,9,1911
23,1951,Best actor,Jose Ferrer,Cyrano de Bergerac,41,Puerto Rico,1909-01-08,1,8,1909
